boot_y,boot_part,boot_cond_coher,boot_cond_spat,boot_conds
0.469761547481539,1,1,1,1
0.41653966755257,1,2,1,3
0.415780120974887,1,2,2,4
0.342576987452048,1,1,2,2
0.559045266905741,1,2,1,3
0.45037867114479,1,1,2,2
0.545709338682173,1,2,2,4
0.420400767519823,1,1,2,2
0.30203667801743,1,1,1,1
1.34061930805001,1,2,1,3
0.373684282937575,1,1,2,2
0.415885133181291,1,2,2,4
0.3149043218109,1,1,1,1
0.293119007324094,1,1,1,1
0.288950150363235,1,2,1,3
0.392587674270544,1,1,1,1
0.288824349177958,1,2,2,4
0.345034405932893,1,1,2,2
0.268114277184395,1,1,1,1
0.225274317612275,1,1,1,1
0.348363075679117,1,2,1,3
0.536765482733244,1,2,1,3
0.590822457123068,1,2,2,4
0.374086963661284,1,2,2,4
0.305470412215982,1,2,1,3
0.302941264791116,1,1,2,2
-0.294023203494362,1,1,1,1
0.514068478487388,1,2,1,3
0.437072010698103,1,2,1,3
0.471829252227508,1,2,2,4
0.292724170981273,1,1,1,1
0.319302755671742,1,2,2,4
0.398919714511976,1,2,2,4
0.34315928534761,1,2,1,3
0.498969552331801,1,2,1,3
0.366728802226135,1,1,1,1
0.462369948530977,1,2,2,4
0.3218092631123,1,1,2,2
0.265358020868007,1,1,2,2
0.4879274599989,1,2,1,3
0.374434318234307,1,1,2,2
0.335102468940022,1,2,2,4
0.382578338387248,1,1,1,1
0.354976650340177,1,1,1,1
0.321336515370604,1,1,1,1
0.234487238574729,1,2,2,4
0.256881543748023,1,2,1,3
0.191307236396824,1,2,1,3
-0.414804506849578,1,2,2,4
0.305376707561663,1,2,1,3
0.230943906952234,1,1,2,2
0.401956574769429,1,1,2,2
0.341201849761092,1,2,1,3
0.260111552922353,1,2,2,4
0.443597831786064,1,2,1,3
0.275937157873159,1,1,1,1
0.356953158246142,1,2,1,3
0.28117091259719,1,1,1,1
0.411079281617276,1,1,1,1
0.308299365271523,1,2,2,4
0.501210413148328,1,1,1,1
0.503213250610315,1,1,2,2
0.409716663089966,1,2,2,4
0.294319645472569,1,1,2,2
-0.236852756138433,1,2,2,4
0.334759736903834,1,1,1,1
0.248950025967133,1,1,1,1
0.403277764613449,1,2,2,4
-0.660263116418719,1,2,1,3
0.373211836234077,1,2,2,4
0.266611855514384,1,2,2,4
0.246109757895283,1,1,2,2
0.314880288598033,1,2,2,4
0.38761220444394,1,1,2,2
0.361237314922619,1,2,1,3
0.318008183980965,1,2,1,3
0.541324680380967,1,2,2,4
0.271570250813056,1,2,1,3
0.959128049634273,1,2,2,4
0.766125404363265,1,2,2,4
0.349526663867437,1,1,1,1
0.337582094509344,1,1,2,2
0.237745104881469,1,2,1,3
0.551617386760881,1,2,2,4
0.269665618634463,1,1,1,1
0.41008129371312,1,2,2,4
0.245309434467345,1,1,1,1
0.38379336412163,1,2,2,4
0.413973962775344,1,2,1,3
0.475714932748815,1,1,2,2
0.458355118098552,1,1,1,1
0.445819174947246,1,1,2,2
0.319232693629601,1,1,1,1
-0.297487693240328,1,2,2,4
0.335847729937086,1,1,2,2
0.384974972244891,1,1,1,1
0.369545718773225,1,2,1,3
0.301844367526428,1,2,2,4
0.358990440827256,1,2,2,4
0.299705222434568,1,1,1,1
0.261422502526329,1,1,1,1
0.426884913622416,1,2,2,4
0.456715383682422,1,2,2,4
0.152811852405648,1,1,1,1
0.402132768577758,1,2,2,4
0.372422367556283,1,1,2,2
0.449407132216948,1,1,1,1
0.329017102518264,1,2,1,3
0.34370145822686,1,2,1,3
0.309883504843128,1,1,1,1
0.35643852155863,1,2,1,3
0.550064686912265,1,2,2,4
0.256801639533478,1,1,1,1
0.28241882601651,1,1,2,2
0.273414844738909,1,2,2,4
0.248947630109797,1,1,2,2
0.313458826017268,1,1,2,2
0.602292149088498,1,2,2,4
0.295898102657702,1,2,1,3
0.308526120881652,1,2,1,3
0.513210851020631,1,2,1,3
0.357029830666761,1,1,1,1
0.733944160097963,1,1,1,1
0.237445274369747,1,2,1,3
0.575342716487285,1,2,2,4
0.353931750400079,1,1,2,2
0.478652764223625,1,2,2,4
0.366349027693104,1,1,2,2
0.359345017804117,1,1,2,2
0.592047665872997,1,2,2,4
-0.405984690643891,1,1,1,1
0.406198787124595,2,1,2,2
1.00987697340315,2,2,2,4
0.451098063756945,2,1,1,1
0.415070044473396,2,1,1,1
-0.48408444596862,2,2,1,3
0.419476319089881,2,2,1,3
0.396362812636653,2,2,2,4
0.691977705486352,2,1,1,1
0.463924169816892,2,1,2,2
0.75172463877243,2,2,2,4
1.41676109345281,2,1,2,2
-0.758806018347968,2,2,1,3
0.309091080081998,2,2,1,3
0.431594578752993,2,1,1,1
0.387534382825834,2,2,2,4
0.890266703150701,2,2,1,3
0.382941688701976,2,1,2,2
0.381747667241143,2,1,1,1
0.276891300265561,2,1,1,1
0.400888391857734,2,2,1,3
0.458326346764807,2,2,1,3
0.411188172292896,2,1,2,2
0.280330747948028,2,1,2,2
0.322161338510341,2,1,2,2
0.349619935936062,2,1,2,2
0.549746259057429,2,2,2,4
0.220013932514121,2,2,2,4
0.81250204074604,2,1,2,2
0.397945911987335,2,2,1,3
0.699437514544115,2,2,2,4
0.312655460118549,2,1,1,1
1.1825920646952,2,2,1,3
-0.50309047549672,2,2,1,3
0.801448605809128,2,1,2,2
0.488519613121753,2,2,1,3
0.294585441763047,2,1,1,1
0.360418624783051,2,2,2,4
0.23096441362577,2,1,1,1
0.397012622604962,2,2,1,3
0.383126229819027,2,2,2,4
0.390081512668985,2,1,1,1
-0.633124047890306,2,2,2,4
0.316345275074127,2,1,2,2
0.418574091745541,2,1,1,1
0.28370604882366,2,2,2,4
0.461834324989468,2,2,2,4
0.775045844187844,2,2,2,4
-0.860180005591246,2,2,2,4
0.3565062826965,2,1,2,2
0.311775935304468,2,1,1,1
0.25467225376633,2,1,1,1
0.399433904531179,2,2,2,4
0.329119236208498,2,1,2,2
-1.01992379162402,2,2,1,3
0.391071012287284,2,2,2,4
0.286012825366925,2,1,1,1
0.284782663977239,2,2,2,4
0.341818887274712,2,2,2,4
0.416564304148778,2,2,2,4
0.561271259837667,2,2,1,3
0.575755141035188,2,2,1,3
0.333648850879399,2,1,2,2
0.464088924272801,2,1,2,2
-0.639038624169189,2,1,2,2
0.449205963610439,2,2,2,4
0.615919422794832,2,2,1,3
0.233677278185496,2,1,2,2
0.359949636462261,2,1,1,1
-0.818619626181317,2,2,1,3
0.363758552004583,2,1,2,2
-0.703831906692358,2,2,2,4
0.674242226712522,2,2,1,3
0.288944442858337,2,1,2,2
0.599749242101097,2,2,2,4
